,robust_w_stock,robust_w_bond,robust_w_bill,Dates
0,0.05017694090879381,0.8998185071450877,0.05000455194611825,1991-03-29
1,0.8999997349516841,0.05000011378443095,0.050000151264099096,1991-04-30
2,0.05000000022614558,0.89999999939435,0.05000000037950434,1991-05-31
3,0.8999996487983701,0.05000013890649497,0.050000212295135134,1991-06-28
4,0.8999997674435171,0.05000009498245559,0.05000013757402719,1991-07-31
5,0.22841192247246972,0.5946129335561092,0.17697514397141956,1991-08-30
6,0.8999995286440814,0.050000018029773274,0.05000045332614576,1991-09-30
7,0.39578204304532155,0.5542168880139589,0.0500010689413635,1991-10-31
8,0.8736805269987512,0.07631583220540056,0.05000364079586108,1991-11-29
9,0.743144327265431,0.204145720615233,0.05270995211933593,1991-12-31
10,0.4303565307286919,0.5196434626015555,0.05000000666994391,1992-01-31
11,0.4324406940176886,0.517536835131989,0.05002247085135322,1992-02-28
12,0.420601138747059,0.4878892102249064,0.09150965102804234,1992-03-31
13,0.43716587140562796,0.51282435859766,0.05000976999985418,1992-04-30
14,0.8552671207066633,0.09473087424409476,0.050002005049574486,1992-05-29
15,0.44208636631845644,0.4985323910587001,0.05938124262279094,1992-06-30
16,0.8523165829436941,0.097683205962502,0.05000021109372993,1992-07-31
17,0.8482270193047913,0.10176819230035022,0.05000478839475111,1992-08-31
18,0.847309790655322,0.10268252440636874,0.050007684938342976,1992-09-30
19,0.45277472617324427,0.4972168502275365,0.05000842359919282,1992-10-30
20,0.45565759106722664,0.49432130247670547,0.050021106455664495,1992-11-30
21,0.4577331483741891,0.4895848640031308,0.05268198762212197,1992-12-31
22,0.8408332931554247,0.10910024529803622,0.05006646154592693,1993-01-29
23,0.45692287004828336,0.48501503545863733,0.0580620944932749,1993-02-26
24,0.45929251166715984,0.4906126261565039,0.05009486217634521,1993-03-31
25,0.4593141052250972,0.4814652643390863,0.05922063043598394,1993-04-30
26,0.4594221895420158,0.48040016035602345,0.06017765010291649,1993-05-31
27,0.46226895479239655,0.47719840265019575,0.060532642557133656,1993-06-30
28,0.4619247716576405,0.4762255661477332,0.06184966219465898,1993-07-30
29,0.4623270923907334,0.47647185595813335,0.06120105165114699,1993-08-31
30,0.46432631917561007,0.4741214719868136,0.06155220883745541,1993-09-30
31,0.8334982196206665,0.11636823885987829,0.05013354151977301,1993-10-29
32,0.8328987070744241,0.11694694612681839,0.05015434680044571,1993-11-30
33,0.4664547774542584,0.46632850877993454,0.06721671377139954,1993-12-31
34,0.47336306017629,0.47640016191378654,0.05023677790985847,1994-01-31
35,0.48239979769973734,0.4675999181089719,0.0500002841911563,1994-02-28
36,0.7563256898730982,0.19141669769906888,0.05225761242786389,1994-03-31
37,0.4842921508725094,0.4527564253897944,0.0629514237380696,1994-04-29
38,0.8156793216117344,0.13432047750391335,0.0500002008843731,1994-05-31
39,0.8180130228970104,0.1319854990661819,0.05000147803680756,1994-06-30
40,0.4762423021071765,0.47374695634224984,0.050010741550604226,1994-07-29
41,0.47481782096735903,0.47141227889044013,0.05376990014254343,1994-08-31
42,0.47681384723868697,0.4731841019884285,0.0500020507733418,1994-09-30
43,0.47383640082204526,0.46707601865618065,0.05908758052173343,1994-10-31
44,0.4773415048450104,0.4726566330334702,0.050001862121515604,1994-11-30
45,0.8191419783680922,0.1308571591198886,0.05000086251207487,1994-12-30
46,0.8236360376393022,0.12635058140372518,0.05001338095694757,1995-01-31
47,0.8234784113606939,0.1265213871732058,0.0500002014661215,1995-02-28
48,0.8175422134258158,0.13245669442296537,0.05000109215093885,1995-03-31
49,0.7758927087113127,0.17220248778918823,0.05190480349818972,1995-04-28
50,0.8225825648149562,0.12741724851644945,0.05000018666666518,1995-05-31
51,0.8200409797433943,0.1299583268611011,0.05000069339524984,1995-06-30
52,0.8222387851331397,0.1277457212578349,0.05001549360883695,1995-07-31
53,0.82211692458295,0.1274106508443113,0.050472424571944924,1995-08-31
54,0.822039238644431,0.12795990831552706,0.050000853039867295,1995-09-29
55,0.820899139136755,0.12891705374081788,0.0501838071224147,1995-10-31
56,0.8194575469519992,0.13054165059162318,0.05000080245651292,1995-11-30
57,0.8203466528538778,0.12935270121913625,0.05030064592713829,1995-12-29
58,0.8208234865140279,0.12916876541036165,0.0500077480755934,1996-01-31
59,0.8204357355327057,0.1294556403830584,0.05010862408744799,1996-02-29
60,0.48112604723738306,0.46870031469527224,0.05017363806722652,1996-03-29
61,0.4804653639505063,0.46941475124994586,0.050119884800384505,1996-04-30
62,0.4804203949606253,0.46957102531293515,0.050008579726423696,1996-05-31
63,0.48038739300154343,0.46949793334082784,0.050114673657692344,1996-06-28
64,0.48050458743236824,0.46946073052266724,0.05003468204490142,1996-07-31
65,0.4799953064938023,0.4699795907970153,0.0500251027481504,1996-08-30
66,0.8203363544860357,0.129651847725903,0.05001179778807825,1996-09-30
67,0.8201333169486499,0.12986152220048539,0.05000516085188582,1996-10-31
68,0.8199699394847149,0.1297807156540966,0.0502493448611789,1996-11-29
69,0.8199140011014556,0.13006998118642749,0.05001601771225846,1996-12-31
70,0.8192883800250615,0.13070918504433704,0.05000243493041857,1997-01-31
71,0.4812058906651036,0.4687936784766002,0.050000430858418356,1997-02-28
72,0.8187570545515471,0.1312353394610002,0.05000760598748035,1997-03-31
73,0.8196162992964864,0.13035909339810717,0.05002460730563207,1997-04-30
74,0.8193619092607085,0.1306368185295676,0.05000127221249005,1997-05-30
75,0.8190616129958223,0.13093122126656515,0.050007165737603144,1997-06-30
76,0.8191459029351971,0.13069667322520528,0.0501574238395985,1997-07-31
