,w_stock,w_bond,w_bill,Dates
0,0.05000409961954474,0.050018165146908246,0.8999777352335473,1991-03-29
1,0.05017694090879381,0.8998185071450877,0.05000455194611825,1991-04-30
2,0.8999997349516841,0.05000011378443095,0.050000151264099096,1991-05-31
3,0.05000000023183179,0.8999999993312326,0.050000000436935546,1991-06-28
4,0.8999996375285712,0.05000014333566576,0.05000021913576333,1991-07-31
5,0.8999986340667907,0.05000062279319022,0.05000074314002165,1991-08-30
6,0.22760142659520982,0.6148785481872528,0.15752002521756567,1991-09-30
7,0.8999997810868223,0.05000001281175322,0.050000206101424326,1991-10-31
8,0.3957913397938113,0.5542075965791178,0.05000106362657227,1991-11-29
9,0.8730847909284357,0.07691199699417177,0.05000321207735887,1991-12-31
10,0.7429904127657748,0.2030388041486545,0.05397078308557961,1992-01-31
11,0.4303589111287217,0.5196410821559886,0.05000000671512171,1992-02-28
12,0.867643484099301,0.07736188822789941,0.05499462767277311,1992-03-31
13,0.4206481995203083,0.48779422962938856,0.09155757085031463,1992-04-30
14,0.4375574861206743,0.5124418135960788,0.050000700282732485,1992-05-29
15,0.855248062127015,0.0947143646664219,0.05003757320597863,1992-06-30
16,0.4422754953116481,0.4992871610434565,0.058437343645398473,1992-07-31
17,0.8523203260347737,0.09767945738950506,0.050000216575871954,1992-08-31
18,0.8482310885894554,0.1017639934345814,0.050004917976133205,1992-09-30
19,0.8473195822059939,0.10267241133484165,0.050008006459274425,1992-10-30
20,0.45277538148699675,0.49721599175932363,0.05000862675369502,1992-11-30
21,0.45565782218204354,0.4943201890528484,0.05002198876461882,1992-12-31
22,0.4577330472165937,0.48958538258227785,0.052681570201159565,1993-01-29
23,0.8408502291255613,0.10913013556431136,0.05001963531013949,1993-02-26
24,0.45758969453907095,0.4871673137810927,0.05524299167934694,1993-03-31
25,0.45926637921226404,0.49070617255687604,0.05002744823087931,1993-04-30
26,0.45989112382502706,0.4828758534731703,0.057233022701692615,1993-05-31
27,0.4599795168118658,0.4819279536050032,0.05809252958313087,1993-06-30
28,0.4648904295286292,0.4816301191720639,0.05347945152554108,1993-07-30
29,0.46192410994556327,0.47622464927081565,0.061851240783737986,1993-08-31
30,0.4623266006486498,0.4764661002995099,0.06120729905182294,1993-09-30
31,0.4643267463044355,0.47412133901827097,0.061551914677249804,1993-10-29
32,0.8334968855029317,0.1163476382674516,0.05015547622926783,1993-11-30
33,0.8329277696625002,0.11703254129978358,0.050039689037517786,1993-12-31
34,0.4664463954501133,0.4662312642762029,0.06732234027307475,1994-01-31
35,0.4727382907459535,0.4751401637584603,0.0521215454955898,1994-02-28
36,0.8258065463815986,0.1241921731602639,0.050001280457934685,1994-03-31
37,0.7567798538965387,0.1886491493767823,0.054570996726678936,1994-04-29
38,0.4825292591556476,0.4543176137201816,0.06315312712417219,1994-05-31
39,0.8218161118977717,0.12817895267118784,0.050004935431139035,1994-06-30
40,0.8184787726484014,0.13151515598001104,0.05000607137152515,1994-07-29
41,0.4756949266309718,0.4743026922321881,0.05000238113550993,1994-08-31
42,0.4741800619180854,0.4716638477681208,0.05415609031382414,1994-09-30
43,0.47629290803820956,0.47370382180613135,0.05000327015566037,1994-10-31
44,0.4732469602095757,0.46733596492824003,0.05941707486218395,1994-11-30
45,0.4810701255025363,0.468872794001447,0.05005708049603992,1994-12-30
46,0.8195235682902978,0.13047544729877678,0.05000098441096841,1995-01-31
47,0.8233582936807965,0.12647026050260707,0.05017144581659439,1995-02-28
48,0.8232642166612895,0.12653589535962506,0.05019988797902822,1995-03-31
49,0.817428056435982,0.13257087401558348,0.050001069548501316,1995-04-28
50,0.7758612880204425,0.17220866224832093,0.05193004972957648,1995-05-31
51,0.8224670586561507,0.12753259403020697,0.05000034731364901,1995-06-30
52,0.8199591150700002,0.13004021243948066,0.050000672490182835,1995-07-31
53,0.8221610106100241,0.12782712946988295,0.05001185992009402,1995-08-31
54,0.8221409166848604,0.12783651823084546,0.05002256508464728,1995-09-29
55,0.8211310777341775,0.1288688001342015,0.050000122131605554,1995-10-31
56,0.8211669315129791,0.12883203261022036,0.050001035875464034,1995-11-30
57,0.8194083593390756,0.1305908555028124,0.05000078515810667,1995-12-29
58,0.8214165750943708,0.12842170568683262,0.05016171921881485,1996-01-31
59,0.4798267400712979,0.4701489697882201,0.05002429014032675,1996-02-29
60,0.820667416692414,0.1281108253256389,0.05122175798198816,1996-03-29
61,0.4801779337329681,0.4698176681066221,0.05000439816485952,1996-04-30
62,0.4801890346447656,0.4695292400557512,0.05028172529933848,1996-05-31
63,0.4802211019862374,0.469774872740464,0.05000402527324895,1996-06-28
64,0.8206733058728242,0.12859502440882978,0.05073166971848456,1996-07-31
65,0.48028858679173697,0.4695319191303353,0.05017949407789209,1996-08-30
66,0.8204699132216627,0.1291609753837101,0.050369111394597495,1996-09-30
67,0.8202784811820001,0.12961190860851812,0.05010961020948358,1996-10-31
68,0.8200837365896714,0.12991297346731337,0.050003289942900146,1996-11-29
69,0.8192278805321886,0.13077115221374175,0.050000967254090554,1996-12-31
70,0.8198970626338153,0.1300913940219749,0.05001154334403577,1997-01-31
71,0.8197876654427243,0.13001937425971388,0.0501929602977738,1997-02-28
72,0.4811552600828735,0.4688441056488608,0.050000634268156374,1997-03-31
73,0.8187155841251416,0.13119491597337612,0.0500894999013587,1997-04-30
74,0.8196477621316789,0.13034218845927598,0.05001004940985226,1997-05-30
75,0.8193667677326285,0.1306276463625692,0.05000558590603109,1997-06-30
76,0.8190403722658699,0.13095151537216654,0.050008112362036616,1997-07-31
